Id,Genre,Title,Author,Purchase,Member
0,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,23/12/1921,
1,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,24/12/1921,
2,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/01/1922,
3,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,24/02/1922,
4,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,16/06/1922,
5,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,27/10/1922,
6,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,19/12/1922,
7,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,02/01/1923,
8,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,29/01/1923,
9,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,27/05/1923,
10,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,03/06/1923,
11,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,14/06/1923,
12,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,02/07/1923,
13,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,23/07/1923,
14,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,30/12/1923,
15,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,03/01/1924,
16,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,16/01/1924,
17,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/02/1924,
18,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,15/02/1924,
19,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,26/02/1924,
20,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,03/03/1924,
21,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,09/06/1924,
22,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,18/06/1924,
23,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,26/08/1924,
24,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,21/10/1924,
25,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,07/11/1924,
26,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,29/11/1924,
27,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,29/01/1925,
28,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,26/03/1925,
29,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,10/05/1925,
30,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,04/06/1925,
31,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,11/07/1925,
32,The Cat in the Hat,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,27/07/1925,
33,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,15/08/1925,
34,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,16/08/1925,
35,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,18/08/1925,
36,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,15/09/1925,
37,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,21/09/1925,
38,George's Marvellous Medicine,Roald Dahl,Childrens;Fantasy;Fiction,16/01/1926,
39,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,17/03/1926,
40,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,23/03/1926,
41,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,16/04/1926,
42,The Lord of the Rings,J.R.R. Tolkien,Classics;Fantasy;Fiction,05/05/1926,
43,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,06/08/1926,
44,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,08/01/1927,
45,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,18/01/1927,
46,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,11/03/1927,
47,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,22/04/1927,
48,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,06/08/1927,
49,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,04/09/1927,
50,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,07/10/1927,
51,Fantastic Mr. Fox,Roald Dahl,Childrens;Fantasy;Fiction,08/10/1927,
52,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,05/01/1928,
53,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,09/01/1928,
54,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,14/03/1928,
55,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,15/04/1928,
56,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,01/05/1928,
57,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,14/05/1928,
58,Specials,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,16/05/1928,
59,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,17/05/1928,
60,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,29/05/1928,
61,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,07/06/1928,
62,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,03/07/1928,
63,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,21/07/1928,
64,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,02/08/1928,
65,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/08/1928,
66,Harry Potter and the Order of the Phoenix,J.K. Rowling,Fantasy;Fiction;Young Adult,06/10/1928,
67,Red Queen,Victoria Aveyard,Dystopia;Fantasy;Romance;Science Fiction;Young Adult,07/10/1928,
68,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,10/10/1928,
69,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,04/12/1928,
70,Qurʾan / القرآن الكريم,Anonymous,Classics;Islam;Nonfiction;Philosophy;Religion,02/02/1929,
71,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,30/03/1929,
72,Holy Bible: King James Version,Anonymous,Christian;Christianity;Classics;History;Lds;Nonfiction;Philosophy;Reference;Religion;Spirituality,04/04/1929,
73,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,10/04/1929,
74,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,18/04/1929,
75,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,22/05/1929,
76,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,15/06/1929,
77,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,19/06/1929,
78,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,27/09/1929,
79,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/12/1929,
80,Catching Fire,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,28/02/1930,
81,The Hunger Games,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,13/04/1930,
82,The Fellowship of the Ring,J.R.R. Tolkien,Adventure;Classics;Fantasy;Fiction,19/04/1930,
83,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,28/07/1930,
84,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,16/08/1930,
85,The BFG,Roald Dahl,Childrens;Fantasy;Fiction,19/08/1930,
86,The Great Gatsby,F. Scott Fitzgerald,Academic;American;Classics;Fiction;High School;Historical;Historical Fiction;Literature;Novels;Read For School;Romance;School;Young Adult,14/09/1930,
87,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,24/10/1930,
88,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,11/11/1930,
89,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,17/12/1930,
90,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,27/12/1930,
91,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,10/03/1931,
92,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,04/04/1931,
93,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,06/06/1931,
94,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,12/07/1931,
95,Mockingjay,Suzanne Collins,Dystopia;Fantasy;Fiction;Science Fiction;Young Adult,14/08/1931,
96,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,02/09/1931,
97,Romeo and Juliet,William Shakespeare,Academic;Classics;Drama;Fiction;High School;Literature;Plays;Poetry;Read For School;Romance;School;Young Adult,03/09/1931,
98,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,06/10/1931,
99,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,09/10/1931,
100,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,08/11/1931,
101,Charlie and the Chocolate Factory,Roald Dahl,Childrens;Classics;Fantasy;Fiction,15/11/1931,
102,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,01/01/1932,
103,Uglies,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,21/01/1932,
104,Matilda,Roald Dahl,Childrens;Classics;Fantasy;Fiction,16/03/1932,
105,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,08/04/1932,
106,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,13/04/1932,
107,A Brief History of Time,Stephen Hawking,History;Nonfiction;Physics;Science,23/04/1932,
108,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,20/05/1932,
109,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,01/08/1932,
110,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,15/12/1932,
111,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,23/02/1933,
112,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,04/03/1933,
113,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,07/08/1933,
114,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,21/08/1933,
115,Twilight,Stephenie Meyer,Fantasy;Fiction;Paranormal;Romance;Vampires;Young Adult,22/10/1933,
116,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,24/10/1933,
117,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,08/11/1933,
118,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,10/11/1933,
119,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,31/12/1933,
120,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,01/01/1934,
121,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,02/01/1934,
122,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,03/01/1934,
123,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,21/06/1934,
124,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,24/07/1934,
125,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,27/08/1934,
126,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,13/10/1934,
127,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,19/12/1934,
