Id,Title,Author,Genre,Purchase,Member
0,Little Women,Louisa May Alcott,Classics;Fiction;Historical;Historical Fiction;Young Adult,18/04/2000,
1,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,19/04/2000,
2,Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Fantasy;Fiction;Young Adult,14/05/2000,GEZP
3,The Chronicles of Narnia,C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,02/06/2000,
4,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,06/06/2000,
5,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,18/06/2000,
6,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,24/06/2000,CORF
7,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,30/06/2000,
8,The Hobbit,J.R.R. Tolkien,Classics;Fantasy;Fiction,16/07/2000,
9,Schindler's List,Thomas Keneally,Classics;History;Holocaust;Nonfiction;War;World War II,16/08/2000,
10,Pride and Prejudice,Jane Austen,Classics;Fiction;Romance,17/08/2000,SSPN
11,The Lorax,Dr. Seuss,Childrens;Fiction;Picture Books,17/08/2000,
12,The Universe in a Nutshell,Stephen Hawking,Astronomy;Nonfiction;Physics;Science,21/08/2000,
13,The Da Vinci Code,Dan Brown,Fiction;Mystery;Thriller,04/09/2000,
14,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,05/09/2000,
15,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Childrens;Classics;Fantasy;Fiction;Young Adult,09/09/2000,
16,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,25/09/2000,
17,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,05/10/2000,
18,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,09/10/2000,
19,The Witches,Roald Dahl,Childrens;Fantasy;Fiction,11/10/2000,
20,How the Grinch Stole Christmas!,Dr. Seuss,Childrens;Christmas;Classics;Fantasy;Fiction;Holiday;Humor;Kids;Picture Books;Poetry,30/10/2000,
21,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,07/11/2000,
22,Animal Farm,George Orwell,Academic;Classics;Dystopia;Fantasy;Fiction;Literature;Novels;Politics;Read For School;School;Science Fiction,08/11/2000,
23,King's Cage,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,21/11/2000,
24,Artemis Fowl,Eoin Colfer,Childrens;Fantasy;Fiction;Young Adult,27/11/2000,
25,Lolita,Vladimir Nabokov,Classics;Fiction;Literature,11/12/2000,
26,War Storm,Victoria Aveyard,Dystopia;Fantasy;Science Fiction;Young Adult,19/01/2001,
27,Of Mice and Men,John Steinbeck,Academic;Classics;Fiction;Historical;Historical Fiction;Literature;School,20/01/2001,
28,It,Stephen King,Fantasy;Fiction;Horror,29/01/2001,
29,The Twits,Roald Dahl,Childrens;Fantasy;Fiction,10/02/2001,
30,The Communist Manifesto,Karl Marx,Classics;Economics;History;Nonfiction;Philosophy;Politics,15/02/2001,
31,Pretties,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,21/02/2001,
32,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,24/02/2001,
33,The Fault in Our Stars,John Green,Contemporary;Fiction;Romance;Young Adult,04/03/2001,
34,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Classics;Fantasy;Fiction;Humor;Science Fiction,13/03/2001,
35,1984,George Orwell,Classics;Dystopia;Fiction;Science Fiction,09/04/2001,
36,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,28/04/2001,
37,To Kill a Mockingbird,Harper Lee,Academic;Classics;Fiction;Historical;Historical Fiction;School,30/04/2001,
38,Green Eggs and Ham,Dr. Seuss,Childrens;Classics;Fiction;Picture Books,01/05/2001,GEOD
39,Glass Sword,Victoria Aveyard,Audiobook;Did Not Finish;Dystopia;Fantasy;Fiction;Magic;Romance;Science Fiction;Young Adult;Young Adult Fantasy,07/05/2001,CHSA
40,James and the Giant Peach,Roald Dahl,Childrens;Classics;Fantasy;Fiction,10/05/2001,
41,Harry Potter and the Half-Blood Prince,J.K. Rowling,Fantasy;Fiction;Young Adult,22/05/2001,
42,It,Stephen King,Fantasy;Fiction;Horror,09/06/2001,
43,Murder on the Orient Express,Agatha Christie,Classics;Crime;Fiction;Mystery,24/06/2001,
44,Harry Potter and the Chamber of Secrets,J.K. Rowling,Fantasy;Fiction;Young Adult,28/06/2001,
45,Extras,Scott Westerfeld,Dystopia;Science Fiction;Young Adult,02/07/2001,
46,A Briefer History of Time,Stephen Hawking,Astronomy;History;Nonfiction;Physics;Science,09/07/2001,
