Id,Member,Date_Out,Date_In
52,COVN,09/04/2000,04/06/2000
27,FAVT,19/04/2000,10/06/2000
512,MAHK,29/04/2000,07/08/2000
132,FAZJ,07/05/2000,15/08/2000
354,SSPN,28/06/2000,07/08/2000
995,FAWH,04/07/2000,06/07/2000
543,SSOK,09/07/2000,14/08/2000
552,COVN,25/07/2000,15/09/2000
620,FAIF,25/07/2000,29/07/2000
853,GEZP,26/08/2000,10/11/2000
86,PHQP,29/08/2000,02/11/2000
972,MAHK,03/09/2000,17/09/2000
918,ENBL,06/09/2000,30/11/2000
97,SSOQ,10/10/2000,20/11/2000
123,CHCX,30/10/2000,02/01/2001
577,GEIO,09/11/2000,25/12/2000
129,GEPH,09/11/2000,06/02/2001
991,GEVK,06/12/2000,11/01/2001
317,MAHK,15/12/2000,13/02/2001
614,CHAZ,15/12/2000,22/01/2001
116,FAPU,16/12/2000,31/01/2001
161,MABW,23/12/2000,01/01/2001
943,COHD,27/12/2000,22/02/2001
496,MAVW,28/12/2000,01/04/2001
487,COVN,14/01/2001,16/02/2001
983,FAVT,14/01/2001,11/03/2001
681,CHUA,18/01/2001,24/04/2001
575,ENBL,19/01/2001,08/04/2001
489,ENQJ,03/02/2001,12/03/2001
509,FAZJ,07/02/2001,18/03/2001
587,GEPN,21/02/2001,21/04/2001
697,COYX,24/02/2001,05/03/2001
911,SSAM,26/02/2001,05/04/2001
410,BISI,03/03/2001,21/04/2001
784,FAIF,14/03/2001,22/06/2001
188,MABC,25/03/2001,23/05/2001
204,CHAZ,27/03/2001,12/06/2001
923,SSPN,13/04/2001,16/07/2001
707,CHZA,27/04/2001,09/06/2001
734,FAWH,28/04/2001,30/05/2001
844,MAZY,07/06/2001,07/09/2001
844,SSOK,17/06/2001,03/07/2001
882,SSOQ,25/06/2001,06/09/2001
767,GEVK,26/06/2001,24/08/2001
645,SSAM,30/06/2001,03/08/2001
727,MABC,14/07/2001,19/08/2001
194,MAHK,20/07/2001,13/09/2001
193,FAZJ,21/07/2001,28/10/2001
642,MAVW,26/07/2001,18/08/2001
950,FAOU,11/08/2001,24/10/2001
105,CHCX,19/08/2001,01/09/2001
768,ENQJ,22/08/2001,28/09/2001
861,FAUZ,22/08/2001,24/11/2001
362,GEZP,23/08/2001,17/09/2001
807,COHD,25/08/2001,19/11/2001
786,MABC,28/08/2001,27/09/2001
146,GEFK,29/08/2001,04/09/2001
443,SSOK,02/09/2001,09/09/2001
76,ENBL,05/09/2001,05/10/2001
260,SSOQ,06/09/2001,13/12/2001
219,PHQP,24/09/2001,15/11/2001
332,GEFK,02/10/2001,15/10/2001
396,GEIO,03/10/2001,12/11/2001
674,FAFN,04/10/2001,06/01/2002
666,FAVT,04/10/2001,06/01/2002
831,ENHQ,06/10/2001,11/11/2001
801,GEZP,09/10/2001,14/01/2002
741,FAGC,23/10/2001,10/12/2001
987,MABW,25/10/2001,25/01/2002
325,BICP,28/10/2001,22/01/2002
143,BISI,07/11/2001,08/11/2001
846,COYX,09/11/2001,11/02/2002
589,GEOL,15/11/2001,12/02/2002
69,ENBL,19/11/2001,06/02/2002
259,CHUA,22/11/2001,29/12/2001
903,FAPU,25/11/2001,21/02/2002
702,SSVD,26/11/2001,01/02/2002
593,COVN,30/11/2001,14/12/2001
533,CHVR,01/12/2001,14/02/2002
534,GEIO,04/12/2001,21/02/2002
669,GEPH,05/12/2001,15/02/2002
296,MAGP,18/12/2001,04/02/2002
391,FAUZ,26/12/2001,15/01/2002
972,MABC,14/01/2002,06/04/2002
239,CORF,19/01/2002,09/03/2002
162,CHQK,19/01/2002,17/03/2002
17,GEVK,22/01/2002,09/04/2002
759,CHSA,09/02/2002,01/03/2002
196,SSOK,13/02/2002,21/05/2002
383,SSKC,15/02/2002,21/03/2002
640,MABW,17/02/2002,30/04/2002
895,CHZA,18/02/2002,05/04/2002
942,ENHQ,26/02/2002,18/05/2002
295,MALW,04/03/2002,26/04/2002
585,GEPN,05/03/2002,30/05/2002
503,CHCX,13/03/2002,30/05/2002
626,GEAW,19/03/2002,18/05/2002
142,CHQK,02/04/2002,26/04/2002
893,SSJM,02/04/2002,11/04/2002
383,FAWH,08/04/2002,08/06/2002
961,BIHH,09/04/2002,05/07/2002
634,BIHX,09/04/2002,13/05/2002
22,GEJJ,13/04/2002,22/04/2002
699,GEJG,18/04/2002,16/07/2002
284,SSAM,21/04/2002,01/05/2002
674,CHAZ,23/04/2002,02/05/2002
492,COOZ,27/04/2002,15/07/2002
737,SSOQ,29/04/2002,28/05/2002
801,BICP,02/05/2002,04/07/2002
228,FAIF,07/05/2002,07/07/2002
961,MAVW,09/05/2002,08/07/2002
822,GEMR,10/05/2002,13/06/2002
203,MADP,11/05/2002,17/05/2002
274,PHIW,23/05/2002,29/06/2002
885,BISI,23/05/2002,10/08/2002
991,FAGC,29/05/2002,22/06/2002
954,SSQT,29/05/2002,26/08/2002
622,SSVT,02/06/2002,16/06/2002
638,ENQV,06/06/2002,20/06/2002
516,GEPH,07/06/2002,12/06/2002
92,SSPN,30/06/2002,14/07/2002
389,FAUZ,06/07/2002,31/08/2002
620,ENUE,06/07/2002,10/07/2002
324,SSAM,09/07/2002,30/08/2002
502,GEDA,10/07/2002,03/10/2002
569,GEZP,14/07/2002,15/10/2002
198,GEOL,17/07/2002,31/08/2002
618,GEPH,19/07/2002,25/07/2002
555,MAEQ,20/07/2002,16/09/2002
995,FAPU,25/07/2002,24/10/2002
507,MAZY,02/08/2002,18/08/2002
505,SSLM,03/08/2002,23/10/2002
717,ENQJ,06/08/2002,17/08/2002
396,GEJG,10/08/2002,27/10/2002
950,ENOK,11/08/2002,30/09/2002
